Precision,Recall,F-Score,Support
0.8075405523893029,0.8771428571428571,0.8409039032184433,2100.0
0.8611361587015329,0.9095238095238095,0.8846688281611857,2100.0
0.7846227316141356,0.7823809523809524,0.7835002384358608,2100.0
0.6338432122370937,0.7577142857142857,0.6902654867256637,1750.0
0.8418869880767237,0.928,0.8828486001630879,1750.0
0.7951020408163265,0.6957142857142857,0.7420952380952381,1400.0
0.7617910447761194,0.7291428571428571,0.7451094890510949,1750.0
0.9560321715817695,0.849047619047619,0.8993694829760404,2100.0
0.7673235855054037,0.6897142857142857,0.7264520012037317,1750.0
0.9517453798767967,0.8828571428571429,0.9160079051383401,2100.0
