Precision,Recall,F-Score,Support
0.8211310828583954,0.8919047619047619,0.8550559233051814,2100.0
0.8643429109750354,0.8738095238095238,0.8690504380771963,2100.0
0.7591973244147158,0.8647619047619047,0.8085485307212822,2100.0
0.8125,0.5051428571428571,0.6229739252995067,1750.0
0.8787375415282392,0.9068571428571428,0.8925759280089989,1750.0
0.7489239598278336,0.7457142857142857,0.7473156764495347,1400.0
0.7658450704225352,0.7457142857142857,0.7556456282570931,1750.0
0.9271356783919598,0.8785714285714286,0.9022004889975549,2100.0
0.7021505376344086,0.7462857142857143,0.7235457063711911,1750.0
0.8863837312113174,0.9547619047619048,0.9193030719853279,2100.0
