Precision,Recall,F-Score,Support
0.8991477272727273,0.9042857142857142,0.9017094017094017,2100.0
0.9284403669724771,0.9638095238095238,0.9457943925233645,2100.0
0.8650613357564744,0.9066666666666666,0.8853754940711462,2100.0
0.8166559070367979,0.7228571428571429,0.7668990603213095,1750.0
0.9405714285714286,0.9405714285714286,0.9405714285714286,1750.0
0.8469529085872576,0.8735714285714286,0.860056258790436,1400.0
0.8716867469879518,0.8268571428571428,0.8486803519061583,1750.0
0.9493371212121212,0.9547619047619048,0.9520417853751187,2100.0
0.8087826570316843,0.8314285714285714,0.819949281487743,1750.0
0.9751552795031055,0.9719047619047619,0.9735273074171239,2100.0
