Precision,Recall,F-Score,Support
0.8429752066115702,0.8742857142857143,0.8583450210378681,2100.0
0.888015717092338,0.8609523809523809,0.8742746615087041,2100.0
0.7420449724225711,0.8328571428571429,0.7848328472066411,2100.0
0.7263242375601926,0.5171428571428571,0.6041388518024032,1750.0
0.8492239467849224,0.8754285714285714,0.8621271806415308,1750.0
0.7813953488372093,0.72,0.7494423791821561,1400.0
0.7524752475247525,0.7382857142857143,0.7453129506778196,1750.0
0.8869565217391304,0.8742857142857143,0.8805755395683453,2100.0
0.6558724021266312,0.7754285714285715,0.7106572401152135,1750.0
0.9113924050632911,0.9257142857142857,0.9184975194897236,2100.0
