Precision,Recall,F-Score,Support
0.9037463976945245,0.7466666666666667,0.8177314211212516,2100.0
0.6838731443994602,0.9652380952380952,0.8005529225908372,2100.0
0.7750352609308886,0.5233333333333333,0.6247868106878909,2100.0
0.5105355575065847,0.6645714285714286,0.5774577954319761,1750.0
0.909686817188638,0.7137142857142857,0.7998719180275375,1750.0
0.8617283950617284,0.24928571428571428,0.38670360110803326,1400.0
0.6725248974809608,0.656,0.6641596760196702,1750.0
0.6104617182933957,0.9947619047619047,0.7566099239406012,2100.0
0.5865436787845903,0.6177142857142857,0.6017255775118285,1750.0
0.9418803418803419,0.7871428571428571,0.8575875486381322,2100.0
