Precision,Recall,F-Score,Support
0.8861360042171851,0.8004761904761905,0.8411308481361021,2100.0
0.8445916114790287,0.910952380952381,0.8765177548682703,2100.0
0.7824228028503563,0.7842857142857143,0.7833531510107015,2100.0
0.6741573033707865,0.6857142857142857,0.6798866855524078,1750.0
0.8658256880733946,0.8628571428571429,0.864338866628506,1750.0
0.7181208053691275,0.7642857142857142,0.7404844290657439,1400.0
0.6957862281603289,0.7737142857142857,0.7326839826839827,1750.0
0.9402531645569621,0.8842857142857142,0.9114110429447853,2100.0
0.7060439560439561,0.7342857142857143,0.7198879551820729,1750.0
0.9584664536741214,0.8571428571428571,0.9049773755656108,2100.0
